Date,HomeTeam,AwayTeam,FTHG,FTAG,HC,AC,HY,AY,HS,AS,H_av_goals,H_conceded,A_av_goals,A_conceded,H attack,A attack,H def,A def,lambda h,lambda a,P(0 0),P(0 1),P(1 0),P(1 1),h win,h draw,a win,A D,h p,a p,gd,h win rt,a win rt,gpg,P(h),P(d),P(A),exp_home_corners,exp_away_corners,exp_home_yellows,exp_away_yellows
2021-04-25,Buyuksehyr,Alanyaspor,0,0,4.0,3.0,1.0,0.0,3.0,13.0,1.6063829787234043,1.0851063829787233,1.1382978723404256,1.5638297872340423,1.006148478609014,0.909077649546938,0.8665973855494175,0.9794955387783116,1.57344496122899,0.9864459601466772,0.09531305329631426,0.058265387268873724,0.10364814270657421,0.13799908075412687,0,1,0,1,1,1,0,51.06382978723404,28.72340425531916,1.4361702127659577,0.4920557390706394,0.28873506530656595,0.21920290996281383,4.815168674193167,3.873603040682989,2.0695385509017155,1.7230613059213569
2021-04-25,Gaziantep,Erzurum BB,2,3,7.0,5.0,0.0,3.0,14.0,12.0,1.4361702127659577,1.24468085106383,1.3,1.9,0.8995367192862045,1.0382176520994002,0.994038177541979,1.19005376344086,1.7091197666437885,1.2922496308045728,0.06619039330768052,0.047777821087205255,0.06850416100135896,0.12628116699003764,0,0,1,0,0,3,-1,42.5531914893617,40.0,1.2393617021276595,0.4559115445393895,0.2702293093170989,0.27384550604824615,5.189450393436401,5.041666714917246,2.199379052961596,2.5671150112911536
2021-04-25,Yeni Malatyaspor,Ankaragucu,2,1,4.0,4.0,2.0,5.0,12.0,9.0,1.1794871794871795,1.6666666666666667,1.1228070175438596,1.736842105263158,0.7387648194099807,0.8967062042423969,1.331048271922308,1.0878607809847198,1.2831178442383877,1.4945103404039948,0.08007326361867607,0.0750499221130014,0.06190430515008691,0.13713702251733417,1,0,0,0,3,0,1,25.64102564102564,17.543859649122805,0.9743589743589745,0.3079092639774416,0.288138699617701,0.40394702239838876,4.394000538068335,4.947637868791236,1.852159054501442,1.8971247783610887
2021-04-27,Hatayspor,Genclerbirligi,3,1,4.0,4.0,3.0,2.0,16.0,19.0,1.4574468085106382,1.4680851063829787,0.85,2.05,0.9128631892015556,0.6788346186803771,1.172455286331565,1.284005376344086,1.8713695378631887,0.9965869933818302,0.07270872911891611,0.04072717627791571,0.09042786564808337,0.12185263221147831,1,0,0,0,3,0,2,37.234042553191486,20.0,1.2180851063829787,0.5626021486855497,0.2554885432362766,0.18188236698728272,5.621616556446079,4.144984207585569,2.0225151977004967,2.1412509126308104
2021-04-28,Goztep,Trabzonspor,1,1,7.0,2.0,5.0,2.0,14.0,14.0,1.5614035087719298,1.350877192982456,1.372340425531915,1.2872340425531914,0.977975853612526,1.095990811136028,1.0788496519791335,0.8062514298787462,1.2588838115650598,1.4805489904820026,0.08266953472034994,0.07759124789425018,0.06327012979178857,0.13847957507047862,0,1,0,1,1,1,0,38.59649122807017,38.297872340425535,1.3859649122807018,0.3041773238263862,0.2903384422144577,0.4054796922831563,5.193325777392798,3.92872877640602,2.56673648172045,2.0470641829371594
2021-04-28,Karagumruk,Antalyaspor,2,2,0.0,4.0,5.0,2.0,5.0,10.0,1.9078947368421053,1.1578947368421053,0.9361702127659576,1.648936170212766,1.1949985851726088,0.7476526463563602,0.924728273124972,1.0328014184397163,1.9704763904441955,0.8657030642021012,0.07365632741067732,0.03576587150282437,0.10056006570118826,0.11505379384835553,0,1,0,1,1,1,0,48.68421052631579,19.148936170212767,1.5460526315789471,0.6169852644496148,0.24038704005465872,0.14258652198747349,4.0340180724881884,5.017934244923898,2.453132582265532,1.7708255946510225
2021-04-28,Kayserispor,Denizlispor,6,3,7.0,6.0,1.0,6.0,18.0,16.0,1.4148936170212767,1.25531914893617,1.05,2.5,0.8862102493708534,0.8385604113110541,1.002534230341483,1.5658602150537633,2.215525623427133,1.0526609418585573,0.05139531760247434,0.02676059300376677,0.07103714459905276,0.10211927797135494,1,0,0,0,3,0,3,40.42553191489361,10.0,1.2393617021276595,0.6236629479630652,0.22085592227481998,0.15537420164611215,6.227525655722045,4.886480428558283,1.29085905589443,2.3129001026379
2021-04-28,Galatasaray,Konyaspor,1,0,11.0,1.0,0.0,2.0,16.0,8.0,2.276595744680851,0.9042553191489362,1.2659574468085106,1.5212765957446808,1.425932280942576,1.0110302831409872,0.7221644879578479,0.9528425989476093,2.1692374061147697,0.9142295113508926,0.05942470623208694,0.028247379781539243,0.08572698682190394,0.10445458163096566,1,0,0,0,3,0,1,74.46808510638297,27.659574468085108,2.1117021276595747,0.6466442234042539,0.2201687418009891,0.13309691194962803,7.150198008644058,3.5115387019428446,2.261138763954036,2.6671787752878515
2021-04-28,Rizespor,Besiktas,2,3,5.0,6.0,1.0,1.0,8.0,16.0,1.4736842105263157,1.3289473684210529,1.5851063829787233,1.25531914893617,0.9230333899264288,1.2659118671261098,1.0613358589275246,0.7862617250057194,1.1587014894821128,1.682330244470225,0.07543133599023918,0.08112398808311623,0.050562177284355914,0.13083870990579585,0,0,1,0,0,3,-1,46.05263157894737,41.48936170212766,1.2960526315789471,0.24566048134031424,0.2753073303190243,0.47902080996575563,4.262920424885188,5.465805525889913,2.764633362624103,2.0055494357700043
2021-04-29,Erzurum BB,Buyuksehyr,1,2,5.0,6.0,2.0,3.0,21.0,12.0,0.9,1.5,1.2659574468085106,1.3297872340425532,0.5637096774193548,1.0110302831409872,1.1979434447300772,0.8329043697094486,0.7496139327385037,1.516545424711481,0.12139467783788185,0.13959556408448873,0.06005730752754213,0.13558461412625966,0,0,1,0,0,3,-1,10.0,37.234042553191486,1.1,0.16692006074292554,0.2950344060058153,0.5380410202610955,4.000886691776522,5.519376322668989,2.0773112384749566,2.1528778291555124
