Date,HomeTeam,AwayTeam,FTHG,FTAG,HC,AC,HY,AY,HS,AS,H_av_goals,H_conceded,A_av_goals,A_conceded,H attack,A attack,H def,A def,lambda h,lambda a,P(0 0),P(0 1),P(1 0),P(1 1)
2021-02-02,Rizespor,Kasimpasa,1,1,1.0,4.0,2.0,2.0,16.0,13.0,1.4736842105263157,1.3289473684210527,1.351063829787234,1.5957446808510638,0.9230333899264289,1.0789987055370198,1.0613358589275246,0.9994852436513383,1.4729256222230247,1.433932490253145,0.054647155644451204,0.07836033197849912,0.08049119573032178,0.1154189407370336
2021-02-03,Konyaspor,Genclerbirligi,0,0,7.0,2.0,2.0,3.0,19.0,7.0,1.3829787234042554,1.0,0.85,2.05,0.8662205444978266,0.6788346186803771,0.7986289631533848,1.284005376344086,1.7757521162205445,0.6788346186803772,0.08589868703635167,0.05831100245946685,0.15253477528536774,0.10354588601633964
2021-02-03,Antalyaspor,Besiktas,1,1,3.0,7.0,4.0,1.0,2.0,17.0,1.425531914893617,1.202127659574468,1.5851063829787233,1.2553191489361701,0.8928734843285289,1.2659118671261098,0.9600539663439626,0.7862617250057194,1.1208411824549618,1.5217876700558555,0.07117391767187062,0.10831159034262326,0.07977465804329156,0.12140009099320327
2021-02-03,Sivasspor,Erzurum BB,0,0,4.0,5.0,1.0,1.0,8.0,9.0,1.3085106382978724,1.053191489361702,1.3,1.9,0.8195778997940975,1.0382176520994002,0.8411092271509052,1.1900537634408601,1.5571980096087852,1.0934419952961767,0.07060601040403325,0.07720357689608874,0.10994753886757777,0.1202212562772682
2021-02-03,Karagumruk,Gaziantep,2,0,6.0,7.0,2.0,2.0,14.0,12.0,1.9078947368421053,1.1578947368421053,1.0425531914893618,1.797872340425532,1.1949985851726088,0.8326131743514013,0.9247282731249719,1.1260867078471746,2.148454903129478,0.9640784124068857,0.04448811004389609,0.04289002650210218,0.09558069815477233,0.09214728773379466
2021-02-03,Kayserispor,Alanyaspor,1,1,2.0,1.0,6.0,1.0,8.0,12.0,1.4148936170212767,1.2553191489361701,1.1382978723404256,1.5638297872340425,0.8862102493708534,0.909077649546938,1.002534230341483,0.9794955387783115,1.3858819857182494,1.1411825813461562,0.07989319753531358,0.09117272539534751,0.11072254324562074,0.12635463771424887
2021-02-04,Goztep,Yeni Malatyaspor,2,2,10.0,2.0,0.0,1.0,25.0,10.0,1.5614035087719298,1.3508771929824561,0.7692307692307693,1.5128205128205128,0.9779758536125259,0.6143299716564499,1.0788496519791337,0.9475461814171491,1.4795019323881802,0.8298843476762569,0.09932218886586389,0.08242592991672544,0.1469473703560694,0.12194932259068798
2021-02-04,Trabzonspor,Denizlispor,1,0,5.0,5.0,0.0,3.0,25.0,4.0,1.925531914893617,1.074468085106383,1.05,2.5,1.2060455273392816,0.8385604113110541,0.8581013327499135,1.5658602150537633,3.015113818348204,0.9010063993874092,0.01991822339630386,0.017946446744497795,0.06005571059914226,0.05411057956958544
2021-02-06,Kasimpasa,Hatayspor,1,4,9.0,3.0,1.0,0.0,15.0,16.0,1.6595744680851063,1.627659574468085,0.9787234042553191,1.9574468085106382,1.039464653397392,0.7816368575543766,1.2998960783241262,1.2260352322123083,2.034696768352341,1.2722387149555276,0.036628249819517386,0.04659987748145283,0.07452738153817424,0.0948166201171271
2021-02-06,Alanyaspor,Rizespor,2,1,13.0,4.0,2.0,6.0,33.0,8.0,1.7872340425531914,1.3404255319148937,1.118421052631579,2.039473684210526,1.119423472889499,0.8932034456320751,1.0705026527375159,1.2774122807017543,2.2830347144456886,1.19727270371959,0.030797941730566727,0.03687353496475402,0.07031277010435938,0.08418356036886032
2021-02-06,Buyuksehyr,Karagumruk,0,1,5.0,3.0,1.0,1.0,16.0,13.0,1.6063829787234043,1.0851063829787233,1.1842105263157894,1.7236842105263157,1.006148478609014,0.9457448247869029,0.8665973855494175,1.0796194114318052,1.734282246023432,1.0262337460453625,0.06325911873334568,0.06491864238924971,0.10970916651832971,0.11258724893161996
2021-02-06,Fenerbahce,Galatasaray,0,1,8.0,6.0,2.0,2.0,12.0,9.0,2.3191489361702127,1.1063829787234043,1.946808510638298,0.9361702127659575,1.4525852207732783,1.554777662309249,0.8835894911484258,0.5863646762754519,1.3598670151920054,1.720179541278318,0.04595711699808362,0.07905449243623748,0.06249556751901375,0.10750359666678522
2021-02-07,Besiktas,Konyaspor,1,0,5.0,3.0,4.0,3.0,12.0,3.0,1.9680851063829787,0.9893617021276596,1.2659574468085106,1.5212765957446808,1.2326984671699839,1.0110302831409872,0.7901329103538808,0.9528425989476091,1.875275327716039,1.000274641830977,0.05638512087552238,0.05640060658835948,0.1057376260281537,0.10576666600336922
2021-02-07,Erzurum BB,Kayserispor,1,1,1.0,5.0,3.0,1.0,7.0,8.0,0.9,1.5,1.0638297872340425,1.8085106382978724,0.5637096774193548,0.8496052799504094,1.1979434447300772,1.1327499428048502,1.019474948524365,1.274407919925614,0.10087401989741518,0.12855464987199985,0.10283853624236311,0.13105824506082484
2021-02-07,Ankaragucu,Sivasspor,1,4,3.0,2.0,5.0,1.0,14.0,12.0,1.2456140350877194,1.2456140350877194,1.2765957446808511,1.7234042553191489,0.7801829843425769,1.0195263359404914,0.9947834453314092,1.0794440631434454,1.3445706751435902,1.2699363131890333,0.07320387016304677,0.09296425298602828,0.09842777712825151,0.12499700840164357
2021-02-07,Denizlispor,Antalyaspor,1,1,2.0,3.0,2.0,2.0,9.0,13.0,0.85,1.35,0.9361702127659575,1.648936170212766,0.5323924731182795,0.7476526463563602,1.0781491002570696,1.0328014184397163,0.8778812056737588,1.0093310725810865,0.15149354256796949,0.15290713980923712,0.13299333380135797,0.1342343042518591
2021-02-08,Gaziantep,Goztep,2,0,2.0,2.0,1.0,0.0,8.0,6.0,1.4361702127659575,1.2446808510638299,1.2105263157894737,1.912280701754386,0.8995367192862045,0.9667613764488342,0.994038177541979,1.1977457083569136,1.7201667088104609,1.2033093728139745,0.05374653486800783,0.06467370916294692,0.09245299999386772,0.11124956143739134
